definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
gzugs nyid stong pa nyid stong pa nyid gzugs so ,གཟུགས་ཉིད་སྟོང་པ་ཉིད་སྟོང་པ་ཉིད་གཟུགས་སོ་,bstan  ston  bstand  stond ,{MSA}rūpam eva śūnyatā śūnyataiva rūpam,"form is emptiness, emptiness is form",,,,,,,,,,,,,,,,,,,,,
gzugs brnyan ,གཟུགས་བརྙན་,,"{C,MSA}pratibimba; {L,MSA}bimba; {C}pratirūpaka; {C}prativarṇika; {L}pratikṛti; {C}pratibhāsa",reflection,,{C}a reflection of the moon in water; reflected image; image (in a mirror); fake; which resembles; counterfeit; similar; imaginary image; picture image; reflection of an object in a mirror or in water; apparition; {GD:362} conceptual reflection ,,,,,,,,,,,,,,,,,,,
gzugs rtag go ,གཟུགས་རྟག་གོ་,,{MV}nityaṃ rūpam,permenent form; form is permanent,,,,,,,,,,,,,,,,,,,,,
gzugs dang ba ,གཟུགས་དང་བ་,,{MSA}rūpa-prasāda,clear form,,,,,,,,,,,,,,,,,,,,,
gzugs dang gzugs med pa ,གཟུགས་དང་གཟུགས་མེད་པ་,,{MSA}rūpārūpya,form and formless,,,,,,,,,,,,,,,,,,,,,
gzugs dwang pa ,གཟུགས་དྭང་པ་,,rūpa-prasāda,clear form,,,,,,,,,,,,,,,,,,,,,
gzugs dwang ba ,གཟུགས་དྭང་བ་,,rūpa-prasāda ,clear form,,,,,,,,,,,,,,,,,,,,,
gzugs dwangs pa ,གཟུགས་དྭངས་པ་,,rūpa-prasāda ,clear form,,,,,,,,,,,,,,,,,,,,,
gzugs 'das ,གཟུགས་འདས་,,,past form{BJ 57.2},,,,,,,,,,,,,,,,,,,,,
gzugs na spyod pa ,གཟུགས་ན་སྤྱོད་པ་,spyad  spyod  spyad  spyod ,{L}rūpa-avacārā,of the realm of form; belong to the sphere of form,,,,,,,,,,,,,,,,,,,,,
gzugs ni gzugs kyi ngo bo nyid kyis stong ngo ,གཟུགས་ནི་གཟུགས་ཀྱི་ངོ་བོ་ཉིད་ཀྱིས་སྟོང་ངོ་,,{MSA}rūpaṃ ... svabhāvena śūnyam,form is empty of form's entityness,,,,,,,,,,,,,,,,,,,,,
gzugs rnam par 'byed pa ,གཟུགས་རྣམ་པར་འབྱེད་པ་,,{MSA}rūpa-vibhāvana,differentiation of form; differentiate form; separation of form,,,,,,,,,,,,,,,,,,,,,
gzugs phun sum tshogs pa ,གཟུགས་ཕུན་སུམ་ཚོགས་པ་,,{C}rūpa-pariniṣpatti; {MSA}rūpa-saṃpatti,perfect form; sublime form,,{C}one who has achieved an accomplished body,,,,,,,,,,,,,,,,,,,
gzugs ma yin pa ,གཟུགས་མ་ཡིན་པ་,,{MSA}arūpa,formless; non-form,,,,,,,,,,,,,,,,,,,,,
gzugs mang ba ,གཟུགས་མང་བ་,,{C}aneka-rūpa,many forms; in many forms,,{C}in great variety; different in form; one of the many,,,,,,,,,,,,,,,,,,,
gzugs med kyi snyoms 'jug ,གཟུགས་མེད་ཀྱི་སྙོམས་འཇུག་,,{N}ārūpya-samāpatti,formless absorption{N},,,,,,,,,see: gzugs med snyoms 'jug,,,,,,,,,,,,
gzugs med kham ,གཟུགས་མེད་ཁམ་,,ārūpyadhātu,Formless Realm,,,,,,,,,,,,,,,,,,,,,
gzugs med khams ,གཟུགས་མེད་ཁམས་,,arūpya-dhātu; {C}ārūpya-dhātu,formless realm,,,,,,,,,"one of the three realms in Buddhist cosmology; the others are: the form realm (gzugs khams, rūpa-dhātu) and the desire realm ('dod khams, kāma-dhātu)",,,,,,,,,,,,
gzugs med khams kyi lha ,གཟུགས་མེད་ཁམས་ཀྱི་ལྷ་,,ārūpya-dhātu-deva,god of the Formless Realm,,,,,,,,,,,,,,,,,,,,,
gzugs med pa ,གཟུགས་མེད་པ་,,{C}arūpin,formless,,{C}immaterial,,,,,,,,,,,,,,,,,,,
gzugs med pa'i snyoms 'jug ,གཟུགས་མེད་པའི་སྙོམས་འཇུག་,,ārūpya-samāpatti,formless absorption,,,,,dbye ba/  1 nam mkha' mtha' yas/ 2 rnam shes mtha' yas/ 3 ci yang med/ 4 srid rtse/,Division: (1) limitless space; (2) limitless consciousness; (3) absolute nothingness; (4) peak of cyclic existence,,,,,,,,,,,,,,,
gzugs med pa'i snyoms par 'jug pa ,གཟུགས་མེད་པའི་སྙོམས་པར་འཇུག་པ་,,{C}ārūpya-samāpatti,formless absorption,,,,,,,,,see: gzugs med kyi snyoms 'jug; gzugs med bsam gtan,,,,,,,,,,,,
gzugs med pa'i srid pa'i dga' ba ,གཟུགས་མེད་པའི་སྲིད་པའི་དགའ་བ་,,{MSA}ārūpya-bhava-priya,happiness of formless existence,,,,,,,,,,,,,,,,,,,,,
gzugs med min ,གཟུགས་མེད་མིན་,,{MSA}vinārūpyam,non-formless,,,,,,,,,,,,,,,,,,,,,
gzugs med bzhi ,གཟུགས་མེད་བཞི་,,,four formless [absorptions],,,,,,,,,see: gzugs med bsam gtan; gzugs med snyoms 'jug,,,,,,,,,,,,
gzugs med bsam gtan ,གཟུགས་མེད་བསམ་གཏན་,,ārūpya-dhyāna,formless concentration,,,,,dbye ba/  1 nam mkha' mtha' yas/ 2 rnam shes mtha' yas/ 3 ci yang med/ 4 srid rtse/,Division: (1) limitless space; (2) limitless consciousness; (3) absolute nothingness; (4) peak of cyclic existence,,,,,,,,,,,,,,,
gzugs mo byi thur ,གཟུགས་མོ་བྱི་ཐུར་,,,porcupine,,,,,,,,,,,,,,,,,,,,,
gzugs 'dzin don rig yid mngon ,གཟུགས་འཛིན་དོན་རིག་ཡིད་མངོན་,gzung  'dzin  bzung  zungs ,,mental direct perceiving object knower apprehending form{LG},,,,,,,,,,,,,,,,,,,,,
gzugs 'dzin dbang mngon ,གཟུགས་འཛིན་དབང་མངོན་,gzung  'dzin  bzung  zungs ,,sense direct perceiver apprehending form,,,mtshan nyid/ rang gi thun mong ma yin pa'i bdag rkyen mig  dbang dang/ dmigs rkyen gzugs la brten nas skyes pa'i  rtog pa dang bral zhing ma 'khrul pa'i rig pa/,"Def.: an awareness which is non-mistaken and free from conceptuality, which is produced from its own uncommon empowering conditions, an eye sense-power, and an observed object condition, a form{BR}",,,,,one of the five types of sense direct perceiver; for others see dbang mngon ,,,,,,,,,,,,
gzugs 'dzin tshad ma ,གཟུགས་འཛིན་ཚད་མ་,gzung  'dzin  bzung  zungs ,*rūpagrāhaka-pramāṇa,prime cognition apprehending form,,,,,,,,,,,,,,,,,,,,,
gzugs 'dzin yid mngon ,གཟུགས་འཛིན་ཡིད་མངོན་,gzung  'dzin  bzung  zungs ,,mental direct perception apprehending form,,,,,,,,,"Comment: This is one of the five types of mental direct perceptions indicated on this occasion (skabs 'dir bstan gyi yid mngon): mental direct perceptions apprehending forms, sounds, scents, tastes, and tangible objects respectively.",,,,,,,,,,,,
gzugs gzugs zhes pa'i sgra'i 'jug gzhi ,གཟུགས་གཟུགས་ཞེས་པའི་སྒྲའི་འཇུག་གཞི་,,,"form's being the basis for affixing the term ""form""",,,,,,,,,,,,,,,,,,,,,
gzugs yod pa ,གཟུགས་ཡོད་པ་,,{C}rūpin,form; having form,,{C}material (thing); embodied,,,,,,,,,,,,,,,,,,,
gzugs la ni skye ba yang med 'gag pa yang med ,གཟུགས་ལ་ནི་སྐྱེ་བ་ཡང་མེད་འགག་པ་ཡང་མེད་,'gag  'gag  'gags  'gags ,{MSA}rūpasya hi notpādo na nirodhaḥ,form is neither produced nor ceased,,,,,,,,,,,,,,,,,,,,,
gzugs la sogs pa ,གཟུགས་ལ་སོགས་པ་,,{MV}rūpādi; rūpa-ādi,"form, etc.; forms and so forth",,,,,,,,,,,,,,,,,,,,,
gzugs la sogs pa yul lnga ,གཟུགས་ལ་སོགས་པ་ཡུལ་ལྔ་,,{MSA}pañca rūpādayo viṣayāḥ,"the four objects, form, etc.",,,,,,,,,,,,,,,,,,,,,
gzugs la sogs pa yod pa nyid du bstan pa ,གཟུགས་ལ་སོགས་པ་ཡོད་པ་ཉིད་དུ་བསྟན་པ་,bstan  ston  bstand  stond ,{MSA}rūpādy-astitva-deśana,form and so forth are indicated as existent,,,,,,,,,,,,,,,,,,,,,
gzugs la sogs zhes bya ba'i gzhi ,གཟུགས་ལ་སོགས་ཞེས་བྱ་བའི་གཞི་,,{MSA}rūpādi-saṃjñaka (vastu ...-),"the bases, ""form and so forth""",,,,,,,,,,,,,,,,,,,,,
gzugs shes gang rung ma yin pa'i dngos po ,གཟུགས་ཤེས་གང་རུང་མ་ཡིན་པའི་དངོས་པོ་,,,a thing that is neither form nor consciousness,,,,,,,,,"Comment: This is one of three definitions of non-associated compositional factor (ldan min 'du byed, viprayukta-saṃskāra): (1) a thing that is neither matter nor consciousness (bem shes gang rung ma yin pa'i dngos po); (2) a thing that is neither form nor consciousness (gzugs shes gang rung ma yin pa'i dngos po); (3) a compounded phenomenon that is neither matter nor consciousness (gzugs shes gang rung ma yin pa'i 'dus byas).",,,,,,,,,,,,
gzugs su brkod par rko ba ,གཟུགས་སུ་བརྐོད་པར་རྐོ་བ་,,,to draw; drawing; to engrave; engraved,,,,,,,,,,,,,,,,,,,,,
gzugs su gyur pa'i ldog pa rigs gcig pa ,གཟུགས་སུ་གྱུར་པའི་ལྡོག་པ་རིགས་གཅིག་པ་,ldog  ldog  ldogs  ldogs ,,forms which are the same isolate type,,,,,,,,,,,,,,,,,,,,,
gzugs su gyur pa'i rdzas rigs gcig pa ,གཟུགས་སུ་གྱུར་པའི་རྫས་རིགས་གཅིག་པ་,,,forms which are the same type of substantial entity,,,,,,,,,,,,,,,,,,,,,
gzugs su rung ba ,གཟུགས་སུ་རུང་བ་,,rūpaṇa; rūpaṇā ,suitable as form,,,,,,,,,"definition of form (gzugs, rūpa)",,,,,,,,,,,,
gzugs sogs rtog pa'i zhen gzhi yin pa ,གཟུགས་སོགས་རྟོག་པའི་ཞེན་གཞི་ཡིན་པ་,,,a form's being a referent of a conceptual consciousness,,,,,,,,,"Comment: A form's being a referent of a conceptual consciousness [means] that a form appears to a sense consciousness as a basis for the affixing of name and terminology from the side of its [that is, the form's] own mode of abiding, without depending on the association of conventions by terms and conceptuality, whereupon a subsequent conceptual consciousness also adheres to such an appearance and takes it to be a basis of conceiving — with regard to the form — ""This is a form.""",,,,,,,,,,,,
gzugs sogs rtog pa'i zhen yul yin pa ,གཟུགས་སོགས་རྟོག་པའི་ཞེན་ཡུལ་ཡིན་པ་,,,a form's being a conceived object of a conceptual consciousness,,,,,,,,,"Comment: A form's being a conceived object of a conceptual consciousness [means] that a form is taken as the object of the mode of apprehension apprehending form by way of being conceived [that is, thought about] by a conceptual consciousness.",,,,,,,,,,,,
gzung ,གཟུང་,gzung  'dzin  bzung  zungs ,{C}udgṛhīta; {C}udgṛhṇāti (=udgṛhya); grah {GD:417},apprehend; identify{BJ 11.5}; hold; bear; grasp,,{C}take up; seize; learn [na udgrahītavya = should not be seized upon],,,,,,,,,,,,,,,,,,,
gzung dang 'dzin ,གཟུང་དང་འཛིན་,gzung  'dzin  bzung  zungs ,{MV}grāhya-grāha(ka),apprehended object and apprehending subject ,,,,,,,,,,,,,,,,,,,,,
gzung du ma mchis ,གཟུང་དུ་མ་མཆིས་,gzung  'dzin  bzung  zungs ,{C}agrāhya,non-apprehension; non-grasping; non-identification,,{C}what cannot be seized/grasped; not to be seized; unseizable; ungraspable; fact that cannot be seized (upon),,,,,,,,,,,,,,,,,,,
gzung du med ,གཟུང་དུ་མེད་,gzung  'dzin  bzung  zungs ,{C}agrāhya,non-apprehension; non-grasping; non-identification,,{C}what cannot be seized/grasped; not to be seized; unseizable; ungraspable; fact that cannot be seized (upon),,,,,,,,,,,,,,,,,,,
gzung du med pa ,གཟུང་དུ་མེད་པ་,gzung  'dzin  bzung  zungs ,{C}agrāhya; {C}agrāhyatā,non-apprehension; non-grasping; non-identification,,{C}what cannot be seized/grasped; not to be seized; unseizable; ungraspable; fact that cannot be seized (upon),,,,,,,,,,,,,,,,,,,
gzung don ,གཟུང་དོན་,gzung  'dzin  bzung  zungs ,{C}grāhya-artha,apprehended object; apprehended-object,,{C}objective reality,,,,,,,,,,,,,,,,,,,
gzung rnam ,གཟུང་རྣམ་,gzung  'dzin  bzung  zungs ,grāhyākāra,aspect of the apprehended object; that which has the aspect the apprehended,,,,,,,,,,,,,,,,,,,,,
gzung ba ,གཟུང་བ་,gzung  'dzin  bzung  zungs ,"{C,MSA}grāhya",apprehended object,,{C}object; thing grasped,,,,,,,,,,,,,,,,,,,
gzung ba dag dang 'dzin pa ,གཟུང་བ་དག་དང་འཛིན་པ་,gzung  'dzin  bzung  zungs ,{MV}grāhya-grāhaka(tva); {MV}grāhyaṃ grāhakañ ca,apprehended object and apprehending subject ,,,,,,,,,,,,,,,,,,,,,
gzung ba dang 'dzin pa ,གཟུང་བ་དང་འཛིན་པ་,gzung  'dzin  bzung  zungs ,"{MSA,MV}grāhya-grāhaka; {MV}grāhya-grāhakatva; {MV}grāhyaṃ grāhakañ ca",apprehended object and apprehending subject ,,,,,,,,,,,,,,,,,,,,,
gzung ba dang 'dzin pa dag med pa'i mtshan nyid ,གཟུང་བ་དང་འཛིན་པ་དག་མེད་པའི་མཚན་ཉིད་,gzung  'dzin  bzung  zungs ,{MV}asallakṣaṇaṃ grāhya-grāhaka,the non-existent character of apprehended object and apprehending subject ,,,,,,,,,,,,,,,,,,,,,
gzung ba dang 'dzin pa dang bral ba ,གཟུང་བ་དང་འཛིན་པ་དང་བྲལ་བ་,gzung  'dzin  bzung  zungs ,{MSA}grāhya-grāha-grāhaka-grāha-visaṃyoga,free from apprehended object and apprehending subject,,,,,,,,,,,,,,,,,,,,,
gzung ba dang 'dzin par snang ba ,གཟུང་བ་དང་འཛིན་པར་སྣང་བ་,snang  snang  snang  snang ,{MV}saṃprakhyāti grāhya-grāhakatvena,appearance as apprehended object and apprehending subject ,,,,,,,,,,,,,,,,,,,,,
gzung ba phyi rol don du 'dzin pa'i rtog pa ma lus par spangs pa'i rang rgyal gyi mkhyen pa ,གཟུང་བ་ཕྱི་རོལ་དོན་དུ་འཛིན་པའི་རྟོག་པ་མ་ལུས་པར་སྤངས་པའི་རང་རྒྱལ་གྱི་མཁྱེན་པ་,,,exalted knower of a Solitary Realizer who has abandoned all of the conceptions apprehending objects as external objects,,,,,,,,,definition of Solitary Realizer path of no more learning (rang rgyal mi slob lam),,,,,,,,,,,,
gzung ba ma mchis pa ,གཟུང་བ་མ་མཆིས་པ་,gzung  'dzin  bzung  zungs ,{C}agrāhyatā,non-apprehension; non-apprehended object,,{C}(fact that) cannot be seized (upon),,,,,,,,,,,,,,,,,,,
gzung ba med pa dang 'dzin pa med pa'i don ,གཟུང་བ་མེད་པ་དང་འཛིན་པ་མེད་པའི་དོན་,gzung  'dzin  bzung  zungs ,{MSA}grāhya-grāhakārtha (a-),meaning without a object or subject; objectless and subjectless meaning ?  {T},,,,,,,,,,,,,,,,,,,,,
gzung ba med par ,གཟུང་བ་མེད་པར་,gzung  'dzin  bzung  zungs ,,without an apprehended object,,,,,,,,,,,,,,,,,,,,,
gzung ba 'dzin pa'i ngo bo ,གཟུང་བ་འཛིན་པའི་ངོ་བོ་,gzung  'dzin  bzung  zungs ,{MSA}grāhya-grāhaka-bhāva,entity of apprehended object and apprehending subject ,,,,,,,,,,,,,,,,,,,,,
gzung ba yi rnam par g.yeng ba ,གཟུང་བ་ཡི་རྣམ་པར་གཡེང་བ་,gzung  'dzin  bzung  zungs ,{MSA}grāhya-vikṣepa,distraction of apprehended objects  {T},,,,,,,,,,,,,,,,,,,,,
gzung ba'i don ,གཟུང་བའི་དོན་,gzung  'dzin  bzung  zungs ,{MSA}grāhyārtha,apprehended object,,,,,,,,,,,,,,,,,,,,,
gzung ba'i mtshan nyid ,གཟུང་བའི་མཚན་ཉིད་,gzung  'dzin  bzung  zungs ,{MSA}grāhya-lakṣaṇa,character of the apprehended object; characteristic of the apprehended object,,,,,,,,,,,,,,,,,,,,,
gzung ba'i rdzas ,གཟུང་བའི་རྫས་,gzung  'dzin  bzung  zungs ,{MSA}grāhya-dravya,subtantial existence of the apprehended object; {T} apprehended substance; apprehended substantial entity,,,,,,,,,,,,,,,,,,,,,
gzung bar ,གཟུང་བར་,gzung  'dzin  bzung  zungs ,{C}grahītavya,apprehended; which is apprehended,,{C}should be inferred,,,,,,,,,,,,,,,,,,,
gzung bar dka' ba ,གཟུང་བར་དཀའ་བ་,gzung  'dzin  bzung  zungs ,{C}durudgraha,difficult to apprehend; difficult to grasp,,,,,,,,,,,,,,,,,,,,,
gzung bar gyur pa ,གཟུང་བར་གྱུར་པ་,gzung  'dzin  bzung  zungs ,{MSA}grāhya-bhūta,is apprehended; which is apprehended; which is an apprehended object,,,,,,,,,,,,,,,,,,,,,
gzung bar snang ba ,གཟུང་བར་སྣང་བ་,snang  snang  snang  snang ,{MSA}grāhya-pratibhāsa,appearance as an apprehended object; appear as an apprehended object,,,,,,,,,,,,,,,,,,,,,
gzung bar 'os pa ,གཟུང་བར་འོས་པ་,gzung  'dzin  bzung  zungs ,{MSA}ādeya; {MSA}ādeyatva,suitable to be apprehended; suitable to be grasped  {T},,,,,,,,,,,,,,,,,,,,,
gzung 'dzin ,གཟུང་འཛིན་,gzung  'dzin  bzung  zungs ,grāhya-grāhaka,subject and object [lit.: apprehended and apprehender]; apprehended object and apprehending subject,,,,,,,,,,,,,,,,,,,,,
gzung 'dzin grangs mnyam pa ,གཟུང་འཛིན་གྲངས་མཉམ་པ་,gzung  'dzin  bzung  zungs ,,Proponent of an Equal Number of Subjects and Objects,,,,,,,,,"Comment: This is a school of True Aspectarians (rnam bden pa, satyākāravādin) within the Mind-Only School. check JYS for Sūtra School",,,,,,,,,,,,
gzung 'dzin rdzas tha dad du 'dzin pa ,གཟུང་འཛིན་རྫས་ཐ་དད་དུ་འཛིན་པ་,gzung  'dzin  bzung  zungs ,*grāhyagrāhakadravyabhedagrāha,the conception of a difference of substantial entity between apprehended-object and apprehending-subject,,,,,,,,,,,,,,,,,,,,,
gzung 'os pa ,གཟུང་འོས་པ་,gzung  'dzin  bzung  zungs ,{MSA}ādeya,suitable to be apprehended; suitable to be grasped  {T},,,,,,,,,,,,,,,,,,,,,
gzung yul ,གཟུང་ཡུལ་,gzung  'dzin  bzung  zungs ,grāhyaviṣaya,object of apprehension,,{GD:99} held object,,,,,,,,,,,,,,,,,,,
gzung sla ba ,གཟུང་སླ་བ་,gzung  'dzin  bzung  zungs ,{MSA}sugrāhya,easy to apprehend; easy to grasp,,,,,,,,,,,,,,,,,,,,,
gzungs ,གཟུངས་,,"{C,L,MSA}dhāraṇī; {MSA}dhāraṇā",dhāraṇī; magical formulae,,,,,,,,,,,,,,,,,,,,,
gzungs kyi sgo ,གཟུངས་ཀྱི་སྒོ་,,"{MSA}dhāraṇī-dvāra; {C,MSA}dhāraṇī-mukha",dhāraṇī-door,,,,,,,,,,,,,,,,,,,,,
gzungs kyi dbang phyug rgyal pos zhus pas mdo ,གཟུངས་ཀྱི་དབང་ཕྱུག་རྒྱལ་པོས་ཞུས་པས་མདོ་,,dhāraṇīśvara-rāja-paripṛccha-sūtra,The Questions of King Dhāraṇīśvara Sūtra{BJ 38.2},,,,,,,,,,,,,,,,,,,,,
gzungs sgo ,གཟུངས་སྒོ་,,{MSA}dhāraṇī-dvara; {MSA}dhāraṇī-mukha,dhāraṇī-door,,,,,,,,,,,,,,,,,,,,,
gzud pa ,གཟུད་པ་,gzud/ 'dzud/ btsud/ gtsud dam 'dzud/,{C}avatāraṇa,to insert; put in; admit {T},,descend; make penetrate; {C}introducing,,,,,,,"Tenses and English from Thumi, p. 202  {T}",,,,,,,,,,,,
gzer ,གཟེར་,,,nail; spike,,,,,,,,,,,,,,,,,,,,,
gzer yis zil non pa ,གཟེར་ཡིས་ཟིལ་ནོན་པ་,,{C}raśmīgate,,,{C}the impact of the rays,,,,,,,,,,,,,,,,,,,
gzo ,གཟོ་,,{MSA}ābhoga,repay; remember; keep in mind,,,,,,,,,,,,,,,,,,,,,
gzo med par ,གཟོ་མེད་པར་,,{MSA}vinābhogam,without repaying; not remembering; not keeping in mind,,,,,,,,,,,,,,,,,,,,,
gzod ,གཟོད་,,{MSA}ādi,primordial; original; beginning; first; etc.; and so forth,,,,,,,,,,,,,,,,,,,,,
gzod nas stong zhing ,གཟོད་ནས་སྟོང་ཞིང་,,{C}ādiśūnya,primordial emptiness,,,,,,,,,,,,,,,,,,,,,
gzod nas dag pa ,གཟོད་ནས་དག་པ་,,"{C,MSA}ādi-śuddha",primordial purity,,{C}pure from the very beginning,,,,,,,,,,,,,,,,,,,
gzod ma ,གཟོད་མ་,,{MSA}ādi,primordial; original; beginning; first; etc.; and so forth,,,,,,,,,,,,,,,,,,,,,
gzod ma nas zhi ba ,གཟོད་མ་ནས་ཞི་བ་,,"{L,MSA}ādi-śānta",primordial peace; primordial pacification,,,,,,,,,,,,,,,,,,,,,
bzang ,བཟང་,,"{LCh,C}bhadra; {C}śubha (=praśasta); {MSA}su-; {C}cāru",good; right; nice,,{C}lovely; wholesome; merit; pleasant; slender; elegant(ly); beautiful; sweet; benefit,,,,,,,,,,,,,,,,,,,
bzang po ,བཟང་པོ་,,"{LCh,L}bhadra; {C}praṇīta; {MSA}praśasta; {MSA}śubha; {MSA}śobhana; {MSA}su- (e.g.: su-bhaiṣajya; su-mūla)",good; right; nice,,{C}lovely; wholesome; merit; pleasant; slender; elegant(ly); beautiful; sweet; benefit; exalted; auspicious; sublime; fine; good to eat; superior,,,,,,,,,,,,,,,,,,,
